source,target,spec2vec,Unnamed: 0,cosine,min_matches,score_type
664,671,0.8985639292731427,0.0,0.0,0.0,spec2vec
664,547,0.8978449204620449,0.0,0.0,0.0,spec2vec
664,656,0.8978283011740937,0.0,0.0,0.0,spec2vec
664,50,0.8972770896563583,0.0,0.0,0.0,spec2vec
674,274,0.8268058351336538,0.0,0.0,0.0,spec2vec
674,280,0.7663051217557515,0.0,0.0,0.0,spec2vec
674,373,0.8781065886523562,0.0,0.0,0.0,spec2vec
674,586,0.9767804534398771,0.0,0.0,0.0,spec2vec
674,670,0.9761114857624635,0.0,0.0,0.0,spec2vec
674,652,0.9757773885807381,0.0,0.0,0.0,spec2vec
674,669,0.9727210637637842,0.0,0.0,0.0,spec2vec
674,657,0.9680560764468544,0.0,0.0,0.0,spec2vec
674,671,0.966472685010772,0.0,0.0,0.0,spec2vec
674,50,0.9662629898592996,0.0,0.0,0.0,spec2vec
674,648,0.9661066012474945,0.0,0.0,0.0,spec2vec
674,547,0.9659408572727948,0.0,0.0,0.0,spec2vec
520,361,0.9389020336547564,0.0,0.0,0.0,spec2vec
520,398,0.9682972361374692,0.0,0.0,0.0,spec2vec
520,430,0.9562078397099679,0.0,0.0,0.0,spec2vec
520,433,0.7561272986963474,0.0,0.0,0.0,spec2vec
520,435,0.9280324946262486,0.0,0.0,0.0,spec2vec
520,463,0.9464365291928454,0.0,0.0,0.0,spec2vec
520,466,0.9289994811862444,0.0,0.0,0.0,spec2vec
520,512,0.9279611983109264,0.0,0.0,0.0,spec2vec
520,608,0.9062347844307606,338.0,0.9993931077994398,11.0,both
3,81,0.7120887225890198,3.0,0.7339564584597319,16.0,both
105,74,0.7161908297278015,0.0,0.0,0.0,spec2vec
660,646,0.9764259782689286,0.0,0.0,0.0,spec2vec
660,653,0.9613693608554099,0.0,0.0,0.0,spec2vec
660,658,0.9760835727644002,0.0,0.0,0.0,spec2vec
660,665,0.9833045504187352,395.0,0.998714222201446,6.0,both
660,570,0.9613767936367812,0.0,0.0,0.0,spec2vec
660,645,0.9595161139391184,0.0,0.0,0.0,spec2vec
660,547,0.9580726290776409,0.0,0.0,0.0,spec2vec
660,50,0.9574104844917366,0.0,0.0,0.0,spec2vec
660,189,0.9555018432035354,0.0,0.0,0.0,spec2vec
660,666,0.949685469555771,0.0,0.0,0.0,spec2vec
670,274,0.854018771621021,0.0,0.0,0.0,spec2vec
670,280,0.7597378646389246,0.0,0.0,0.0,spec2vec
670,373,0.8708841125213924,0.0,0.0,0.0,spec2vec
670,374,0.7445021093231209,0.0,0.0,0.0,spec2vec
670,470,0.7616906177900488,0.0,0.0,0.0,spec2vec
670,515,0.7852835331900481,0.0,0.0,0.0,spec2vec
670,630,0.9819900823917885,0.0,0.0,0.0,spec2vec
670,634,0.905272322396601,0.0,0.0,0.0,spec2vec
670,648,0.9811516502744216,0.0,0.0,0.0,spec2vec
670,655,0.8442532652810015,0.0,0.0,0.0,spec2vec
670,657,0.9821418822609068,0.0,0.0,0.0,spec2vec
670,652,0.9823343814726235,0.0,0.0,0.0,spec2vec
670,586,0.980248853355226,0.0,0.0,0.0,spec2vec
670,669,0.979300855862318,0.0,0.0,0.0,spec2vec
670,50,0.9768223595059936,0.0,0.0,0.0,spec2vec
670,671,0.9764131844513045,0.0,0.0,0.0,spec2vec
670,547,0.9762035158229281,0.0,0.0,0.0,spec2vec
670,673,0.9689439166565463,0.0,0.0,0.0,spec2vec
368,524,0.7329962749713939,245.0,0.9766870842582784,36.0,both
314,118,0.7550598625315748,0.0,0.0,0.0,spec2vec
526,74,0.7217807549155282,0.0,0.0,0.0,spec2vec
648,50,0.9914326463355738,0.0,0.0,0.0,spec2vec
648,189,0.9905459157765187,0.0,0.0,0.0,spec2vec
648,198,0.9666009255836212,0.0,0.0,0.0,spec2vec
648,374,0.7403044502941506,0.0,0.0,0.0,spec2vec
648,470,0.7585899302795917,0.0,0.0,0.0,spec2vec
648,547,0.9914831413449312,0.0,0.0,0.0,spec2vec
648,570,0.9625035906222037,0.0,0.0,0.0,spec2vec
648,630,0.9873708419669938,0.0,0.0,0.0,spec2vec
648,645,0.9924361090709324,0.0,0.0,0.0,spec2vec
648,656,0.9943063301054795,0.0,0.0,0.0,spec2vec
648,671,0.9911636222307981,0.0,0.0,0.0,spec2vec
648,677,0.9832825047085332,0.0,0.0,0.0,spec2vec
648,657,0.9811392429832377,0.0,0.0,0.0,spec2vec
648,655,0.8351842700307435,0.0,0.0,0.0,spec2vec
648,658,0.9674193529481154,0.0,0.0,0.0,spec2vec
648,673,0.9610084009161509,379.0,0.9958401006698042,7.0,both
175,70,0.7546539739041642,0.0,0.0,0.0,spec2vec
567,289,0.7088427853599377,0.0,0.0,0.0,spec2vec
634,280,0.7759886858304572,0.0,0.0,0.0,spec2vec
634,374,0.8088198554937112,0.0,0.0,0.0,spec2vec
634,515,0.8250917605265708,0.0,0.0,0.0,spec2vec
634,652,0.9031838772412948,0.0,0.0,0.0,spec2vec
634,586,0.9027679502037574,0.0,0.0,0.0,spec2vec
634,668,0.9026138842058685,0.0,0.0,0.0,spec2vec
634,657,0.9022843246239525,0.0,0.0,0.0,spec2vec
634,669,0.9000809872509516,0.0,0.0,0.0,spec2vec
634,677,0.8980782970199679,0.0,0.0,0.0,spec2vec
634,643,0.7071227175021182,0.0,0.0,0.0,spec2vec
654,470,0.8605879991338303,0.0,0.0,0.0,spec2vec
654,611,0.831768087160371,0.0,0.0,0.0,spec2vec
