,source,target,cosine,min_matches
0,2,7,0.794817014674989,15
1,2,271,0.8864407269810709,6
2,3,4,0.7331482078638334,18
3,3,81,0.7339564584597319,16
4,3,124,0.8189441435029101,8
5,3,310,0.7369459075706365,6
6,4,124,0.7347120964210089,8
7,7,69,0.7302571868162446,14
8,7,161,0.7250238939135408,10
9,7,271,0.7372941619755872,6
10,7,440,0.7071967371421272,14
11,8,15,0.9922764229079774,44
12,10,28,0.9955022679366634,18
13,10,42,0.9957360636230139,18
14,10,55,0.9884449107100288,15
15,10,65,0.9493913328679388,12
16,10,93,0.9922192091833338,17
17,10,157,0.9738464078217691,14
18,10,292,0.9559715577040981,10
19,10,315,0.959420694161862,10
20,10,471,0.9944732426972805,16
21,12,95,0.8164607958961487,28
22,13,202,0.9579986483042892,8
23,13,258,0.968620230917973,11
24,13,352,0.949132021904239,8
25,13,434,0.9757472516196004,8
26,17,31,0.7164761841508795,39
27,17,33,0.836818358411094,33
28,17,108,0.8518334261771061,41
29,17,120,0.8527763732604331,28
30,17,149,0.8046171346042426,44
31,18,196,0.8968055632106069,13
32,18,200,0.9222327551909246,17
33,19,88,0.7403210684072263,21
34,19,92,0.799846439798754,35
35,19,180,0.7283900234137404,12
36,19,331,0.7244299553925488,23
37,20,121,0.9881444858491821,8
38,21,262,0.9715688248690126,16
39,24,153,0.8386397231921532,51
40,24,440,0.7562131456598489,23
41,28,42,0.9934838714537462,16
42,28,55,0.9917118068319585,13
43,28,65,0.9469158133612781,12
44,28,93,0.9936697533005098,16
45,28,157,0.9800591174775112,14
46,28,292,0.9421059017070814,8
47,28,315,0.9693812239787115,10
48,28,471,0.9943161033067837,16
49,31,84,0.7139552248785946,26
50,31,625,0.7336886363067832,16
51,33,88,0.7194407464565701,16
52,33,92,0.7237358405634725,21
53,33,108,0.8105972386813132,24
54,33,120,0.8206206268721612,21
55,33,149,0.8296106398123615,23
56,42,55,0.9811027407966951,16
57,42,65,0.9405241057296497,11
58,42,93,0.9871960006107239,15
59,42,157,0.9667045254639743,12
60,42,292,0.9502430804953389,11
61,42,315,0.9621040943355496,10
62,42,471,0.9927191551027884,15
63,47,201,0.9517774159055715,23
64,50,189,0.9991973926747805,6
65,50,570,0.9971620463929405,7
66,50,645,0.9996333931741432,7
67,50,648,0.9990144097275995,7
68,50,660,0.9979393049201911,6
69,50,665,0.9985307973399894,7
70,50,673,0.9976226353641463,6
71,53,60,0.9920961228957738,33
72,53,131,0.8140657761716749,32
73,53,313,0.8454008193328517,19
74,53,371,0.7447366983723469,20
75,55,65,0.9410980771014853,9
76,55,93,0.9914159816865743,14
77,55,157,0.9922849190883098,10
78,55,292,0.9222120268704749,8
79,55,315,0.9690799730689439,10
80,55,471,0.9825608456482211,12
81,58,99,0.7894836493192007,19
82,60,131,0.8126565202546736,33
83,60,313,0.833913267053365,18
84,60,371,0.7467265761901174,20
85,61,176,0.7748138184527428,59
86,61,313,0.8764895880849825,19
87,61,417,0.7920935496278224,30
88,64,124,0.707009065375627,9
89,64,186,0.9027347997684548,15
90,65,93,0.9424744724705392,10
91,65,157,0.92465119615337,9
92,65,292,0.915900581769256,8
93,65,315,0.9069498311817566,8
94,65,471,0.9402236124939929,9
95,67,359,0.9795452629914797,14
96,69,161,0.8926951514102582,10
97,69,186,0.7056770159681365,15
98,69,579,0.7869347805708292,6
99,74,105,0.9787270449782886,10
100,74,164,0.9607907540877477,12
101,75,188,0.9350514716166679,25
102,79,106,0.7046852236496053,9
103,81,124,0.7303426448744811,7
104,84,92,0.7863617566281927,36
105,84,108,0.7481169907760926,31
106,84,120,0.7021706249974711,23
107,84,149,0.7086561267891113,34
108,84,331,0.7136235415505656,25
109,84,625,0.8626747921029693,19
110,88,92,0.71250331955956,19
111,88,149,0.7920062314377587,19
112,88,180,0.7049306168637556,11
113,90,305,0.8068289669345763,10
114,92,108,0.7522360757615217,31
115,92,149,0.750949735024705,38
116,92,180,0.8010635767956427,11
117,92,331,0.8691566218386628,27
118,92,625,0.7067600005369503,15
119,93,157,0.9818410556558231,14
120,93,292,0.9417725984656966,8
121,93,315,0.9719624798242408,10
122,93,471,0.9931402383841055,16
123,98,230,0.9152422885057809,16
124,98,327,0.9619781036456608,19
125,98,337,0.8946266102998792,17
126,98,444,0.926784157680892,14
127,102,334,0.9695230739612022,19
128,104,175,0.9574073048903301,17
129,104,616,0.7056858872737457,8
130,105,164,0.953258185768541,11
131,108,120,0.8002379750669968,21
132,108,149,0.8828536101937552,37
133,110,281,0.9654829844129051,22
134,114,282,0.769731950880303,6
135,116,465,0.8163257824202843,7
136,116,598,0.7297260283616361,6
137,118,263,0.9668732146587268,19
138,118,314,0.9738243702736389,17
139,118,406,0.91236515677018,13
140,118,530,0.9672565575421878,10
141,120,149,0.7725852667241365,22
142,127,289,0.7084963728184096,9
143,127,567,0.9330554246789613,13
144,131,313,0.7036713827901004,18
145,131,371,0.915574074116303,28
146,135,617,0.9657233615781381,8
147,143,257,0.7967714544548783,9
148,149,180,0.7113369018487292,11
149,153,440,0.8289579692115436,24
150,155,226,0.7037538136946823,7
151,157,264,0.8889940259658126,6
152,157,292,0.8890331706626038,6
153,157,315,0.9728949098401417,11
154,157,349,0.7064928176929405,6
155,157,471,0.9691538033672986,15
156,164,526,0.9065449696721394,7
157,164,581,0.8729764674685291,8
158,168,453,0.7217593656549104,11
159,169,317,0.7488942233836459,12
160,169,424,0.8525288001381747,12
161,169,615,0.8299833616285708,6
162,176,417,0.7074661619409248,43
163,177,667,0.993458382682451,11
164,180,651,0.7688689724908173,9
165,185,359,0.7363488452549413,9
166,192,577,0.7804963394803132,10
167,196,200,0.9270063835250878,22
168,198,280,0.923916417578592,8
169,198,373,0.9761148594338015,9
170,198,374,0.8398020848064665,6
171,198,470,0.8365505329019935,8
172,198,655,0.9017885736444735,7
173,198,663,0.7364928558800268,8
174,199,299,0.7597217834564407,20
175,202,258,0.9226378283348197,9
176,202,352,0.9089183502303156,6
177,202,434,0.9322885569786475,8
178,214,216,0.7687146774068512,26
179,226,499,0.790666826344191,24
180,230,327,0.9451285696865955,16
181,230,337,0.8511493298458237,17
182,230,444,0.8605012962834684,14
183,239,538,0.8384662162545401,25
184,251,300,0.8897095396394816,6
185,251,364,0.8332466914759383,9
186,252,644,0.8136197740588572,8
187,253,497,0.9415823529319615,12
188,253,585,0.8453850837908913,11
189,253,592,0.9079259640152428,14
190,258,352,0.909242684136631,7
191,258,434,0.9653184674268295,9
192,263,314,0.9775278009948758,16
193,263,406,0.8864112707826631,12
194,263,530,0.9345779702009915,9
195,263,553,0.740787673090312,8
196,274,280,0.855749722665224,9
197,274,373,0.9051864037939555,7
198,274,374,0.7834434439671909,10
199,274,470,0.9700654477905041,27
200,274,515,0.8843599595850424,10
201,274,630,0.9451145465349751,11
202,274,654,0.8063386496680969,26
203,274,655,0.9708474054882382,21
204,274,663,0.9169697812831331,27
205,274,670,0.9423586876768828,10
206,274,672,0.9459763027514573,14
207,274,673,0.9314926997162549,6
208,274,675,0.9338802919800049,6
209,274,676,0.9309554385898717,6
210,278,450,0.7852648594001244,7
211,280,373,0.9808408960014801,15
212,280,374,0.7606624231680389,14
213,280,414,0.7631544890455566,20
214,280,470,0.7831970752461825,11
215,280,515,0.8527353998140375,10
216,280,643,0.8707907608949628,14
217,280,655,0.8163259175586751,9
218,281,294,0.7102307068365148,12
219,289,567,0.8627593001669324,12
220,292,471,0.951919024784147,7
221,300,364,0.9204531405365469,7
222,314,406,0.8860505648190747,13
223,314,530,0.9439141194426284,8
224,314,553,0.7543126395078082,6
225,315,471,0.9642865877256189,10
226,317,615,0.73520265698753,6
227,319,454,0.8347239063627373,7
228,321,556,0.9134009950325213,9
229,327,337,0.8719863020581533,15
230,327,444,0.923083156345965,13
231,337,444,0.8469265423033789,12
232,346,462,0.9654270442716603,9
233,351,369,0.9740484655874786,44
234,352,434,0.9380779418866165,7
235,361,398,0.9989713432852407,12
236,361,430,0.9991361593664683,13
237,361,433,0.9987151799810289,12
238,361,435,0.999317428036623,13
239,361,463,0.9993431985807845,13
240,361,466,0.9990608914825841,13
241,361,512,0.9986288640094256,12
242,361,520,0.9992759572367866,13
243,361,608,0.9986280216906315,11
244,365,596,0.811870048922236,9
245,368,524,0.9766870842582785,36
246,373,374,0.809783915830772,9
247,373,470,0.8222917376591656,12
248,373,515,0.9134220309777841,8
249,373,630,0.9542086457426264,6
250,373,643,0.7923163072177641,12
251,373,655,0.8690686765613473,7
252,373,661,0.7008452315252727,7
253,373,663,0.7237355757889089,12
254,373,672,0.9531558951569752,6
255,374,470,0.7055192594851878,11
256,374,515,0.952232604646537,25
257,374,579,0.7692900098673765,6
258,374,630,0.839114894616166,8
259,374,631,0.8408921492879136,6
260,374,634,0.8883344397763235,12
261,374,655,0.7604440055024797,7
262,374,658,0.8402504600731192,6
263,374,661,0.8882911474183833,28
264,374,664,0.8311014687480823,9
265,374,672,0.8377680277835349,8
266,383,413,0.923789822428852,13
267,393,527,0.7196055833837512,6
268,396,453,0.9597121464709345,18
269,396,504,0.7172719919012244,15
270,398,430,0.9998228658801366,12
271,398,433,0.9992907288193673,11
272,398,435,0.9995981135981564,12
273,398,463,0.999625893222217,12
274,398,466,0.999737296867338,12
275,398,512,0.999638452805015,11
276,398,520,0.9996729892463186,12
277,398,608,0.9997018769882009,11
278,404,587,0.7199811001075043,11
279,406,530,0.880182892579288,8
280,414,580,0.9178238324687572,15
281,414,643,0.8910650415791501,13
282,424,615,0.7770534808352401,7
283,428,534,0.7584748623769811,18
284,430,433,0.9992519810778245,12
285,430,435,0.9997186448545969,13
286,430,463,0.9997962090366314,13
287,430,466,0.9997575282473417,13
288,430,512,0.9997202391942067,12
289,430,520,0.9997151847683525,13
290,430,608,0.9995986434098554,11
291,433,435,0.9992488548347227,12
292,433,463,0.9992484517215224,12
293,433,466,0.9994498551584358,13
294,433,512,0.9992232939359893,11
295,433,520,0.9993069496136044,13
296,433,608,0.9993910498494555,11
297,435,463,0.9997220118128722,13
298,435,466,0.9996167718632394,13
299,435,512,0.9996473102589732,12
300,435,520,0.9996146878154379,13
301,435,608,0.9995855499733233,11
302,450,527,0.7464010612499705,6
303,454,492,0.741013627105042,6
304,463,466,0.9995256429453269,13
305,463,512,0.9996410487204098,12
306,463,520,0.9997720204265993,13
307,463,608,0.9993969787858317,11
308,465,605,0.8922668057892122,6
309,465,610,0.9609074265437638,6
310,466,512,0.999651530122135,12
311,466,520,0.9997884836245695,15
312,466,608,0.999663109758153,11
313,470,515,0.7966354893824397,12
314,470,630,0.8580781703540112,13
315,470,654,0.846783020034219,30
316,470,655,0.945522636923761,22
317,470,663,0.9589447340125614,31
318,470,664,0.8557313369633455,6
319,470,670,0.8534173503745374,11
320,470,672,0.8591832075360776,15
321,470,673,0.8386106436364441,7
322,470,675,0.8379767165174581,7
323,470,676,0.8332150394889388,6
324,484,604,0.7992502820931267,7
325,489,564,0.7013584172982807,7
326,497,585,0.8395924267086621,10
327,497,592,0.9407899563563519,12
328,512,520,0.9995511079003321,12
329,512,608,0.9995907911850228,10
330,515,579,0.8756304955751006,6
331,515,630,0.9479613942557922,6
332,515,634,0.9640705537507935,9
333,515,655,0.861372107495609,8
334,515,661,0.8570700772757894,21
335,515,663,0.7036706524789181,12
336,515,664,0.9323410668919854,8
337,515,672,0.9465861421537647,6
338,520,608,0.9993931077994398,11
339,527,604,0.7673538921389536,6
340,544,572,0.718759135090876,12
341,547,657,0.9993685241540172,6
342,547,658,0.9977382633880306,6
343,547,662,0.9975083635826879,6
344,547,671,0.9997202824617182,6
345,570,645,0.9957759072549731,6
346,570,648,0.9948946581357739,7
347,570,660,0.9930849254415014,6
348,570,661,0.7158603589608564,6
349,570,665,0.994212770549413,6
350,570,673,0.9963951072076686,6
351,580,643,0.8207948205752985,12
352,585,592,0.8048115117371427,10
353,586,631,0.9989998928202017,6
354,598,605,0.7842414437292716,6
355,605,610,0.8712144946131931,6
356,611,654,0.8593006600529723,29
357,611,663,0.729804408912548,27
358,630,648,0.994197416281835,6
359,630,655,0.9139088004080944,11
360,630,661,0.7194812312566455,7
361,630,663,0.7599888908569873,13
362,630,664,0.9744398578696178,6
363,630,670,0.9990866604416847,10
364,630,672,0.9984705362990562,12
365,630,675,0.9983831790192714,7
366,630,676,0.9963721201959538,6
367,631,646,0.9986252177374395,6
368,631,653,0.9958220936865539,7
369,631,656,0.998601347923397,6
370,631,658,0.9975606841559379,6
371,634,661,0.7621847966965808,7
372,634,664,0.9565422854258016,6
373,645,648,0.9991924587588124,7
374,645,660,0.997589971485924,6
375,645,665,0.998569322078193,6
376,646,653,0.9964625151642239,6
377,648,660,0.9984940842070326,6
378,648,665,0.9991144396774669,6
379,648,673,0.9958401006698042,7
380,654,655,0.8844579493929285,25
381,654,663,0.9448067099322924,35
382,655,663,0.9347036073405375,24
383,655,664,0.909363726081099,7
384,655,670,0.9122440228279449,10
385,655,672,0.9149734134935206,11
386,655,673,0.9101577900903052,8
387,655,675,0.902682663025262,6
388,655,677,0.8971528976057122,6
389,657,658,0.9980549614439188,7
390,657,662,0.9979797960068785,7
391,657,671,0.9995298752897022,6
392,658,662,0.997746984698111,7
393,658,671,0.998348321640207,6
394,658,674,0.997916238814792,7
395,660,665,0.9987142222014461,6
396,661,664,0.7167384598737829,9
397,661,672,0.7182363232879694,8
398,662,674,0.9976244730177216,7
399,663,664,0.7605212690674618,8
400,663,670,0.7568173880669148,11
401,663,672,0.76158409615772,15
402,663,673,0.7454510514831963,7
403,663,675,0.7415991588135159,7
404,663,676,0.7356497875357944,7
405,670,672,0.9983650126784247,10
406,670,675,0.9989190553652092,7
407,670,676,0.9962966394891029,6
408,672,675,0.9968662664327042,6
409,672,676,0.9949701709707969,6
410,673,677,0.9922050864892261,7
